split,condition,n,correct,accuracy
existing_test2048,start,2048,92,0.044921875
existing_test2048,true_s107,2048,89,0.04345703125
existing_test2048,frozen_s107,2048,13,0.00634765625
existing_test2048,offline_s107,2048,40,0.01953125
existing_test2048,online_s107,2048,52,0.025390625
existing_test2048,mean_s107,2048,176,0.0859375
existing_test2048,low_s107,2048,109,0.05322265625
existing_test2048,true_s108,2048,142,0.0693359375
existing_test2048,frozen_s108,2048,8,0.00390625
existing_test2048,offline_s108,2048,64,0.03125
existing_test2048,online_s108,2048,74,0.0361328125
existing_test2048,mean_s108,2048,159,0.07763671875
existing_test2048,low_s108,2048,153,0.07470703125
existing_test2048,true_s109,2048,102,0.0498046875
existing_test2048,frozen_s109,2048,38,0.0185546875
existing_test2048,offline_s109,2048,19,0.00927734375
existing_test2048,online_s109,2048,109,0.05322265625
existing_test2048,mean_s109,2048,185,0.09033203125
existing_test2048,low_s109,2048,172,0.083984375
fresh_test2048,start,2048,89,0.04345703125
fresh_test2048,true_s107,2048,94,0.0458984375
fresh_test2048,frozen_s107,2048,20,0.009765625
fresh_test2048,offline_s107,2048,35,0.01708984375
fresh_test2048,online_s107,2048,51,0.02490234375
fresh_test2048,mean_s107,2048,180,0.087890625
fresh_test2048,low_s107,2048,123,0.06005859375
fresh_test2048,true_s108,2048,130,0.0634765625
fresh_test2048,frozen_s108,2048,8,0.00390625
fresh_test2048,offline_s108,2048,55,0.02685546875
fresh_test2048,online_s108,2048,82,0.0400390625
fresh_test2048,mean_s108,2048,147,0.07177734375
fresh_test2048,low_s108,2048,150,0.0732421875
fresh_test2048,true_s109,2048,102,0.0498046875
fresh_test2048,frozen_s109,2048,40,0.01953125
fresh_test2048,offline_s109,2048,16,0.0078125
fresh_test2048,online_s109,2048,104,0.05078125
fresh_test2048,mean_s109,2048,179,0.08740234375
fresh_test2048,low_s109,2048,164,0.080078125
fresh_test2048,h_offline_s107,2048,16,0.0078125
fresh_test2048,h_offline_s108,2048,18,0.0087890625
fresh_test2048,h_offline_s109,2048,75,0.03662109375
fresh_test2048,hybrid_s107,2048,160,0.078125
fresh_test2048,hybrid_s108,2048,165,0.08056640625
fresh_test2048,hybrid_s109,2048,159,0.07763671875
fresh_test2048,p702_online_s107,2048,128,0.0625
fresh_test2048,p702_mean_s107,2048,152,0.07421875
fresh_test2048,p702_online_s108,2048,92,0.044921875
fresh_test2048,p702_mean_s108,2048,133,0.06494140625
fresh_test2048,p702_online_s109,2048,75,0.03662109375
fresh_test2048,p702_mean_s109,2048,137,0.06689453125
fresh_test2048,p703_online_s107,2048,119,0.05810546875
fresh_test2048,p703_mean_s107,2048,127,0.06201171875
fresh_test2048,p703_online_s108,2048,68,0.033203125
fresh_test2048,p703_mean_s108,2048,111,0.05419921875
fresh_test2048,p703_online_s109,2048,79,0.03857421875
fresh_test2048,p703_mean_s109,2048,150,0.0732421875
