split,method,step,correct_by_seed,mean_accuracy
accuracy_dev256,calibrated,1,15/13/11,0.05078125
accuracy_dev256,calibrated,2,15/16/11,0.0546875
accuracy_dev256,calibrated,4,13/19/4,0.046875
accuracy_dev256,calibrated,8,3/4/4,0.014322916666666666
accuracy_dev256,calibrated,16,1/2/0,0.00390625
accuracy_dev256,frozen,1,15/14/17,0.059895833333333336
accuracy_dev256,frozen,2,16/15/11,0.0546875
accuracy_dev256,frozen,4,16/22/3,0.053385416666666664
accuracy_dev256,frozen,8,6/12/8,0.033854166666666664
accuracy_dev256,frozen,16,0/2/0,0.0026041666666666665
accuracy_dev256,oracle,1,19/13/12,0.057291666666666664
accuracy_dev256,oracle,2,14/9/8,0.040364583333333336
accuracy_dev256,oracle,4,5/13/7,0.032552083333333336
accuracy_dev256,oracle,8,10/11/12,0.04296875
accuracy_dev256,oracle,16,12/13/16,0.053385416666666664
countdown_test2048,calibrated,1,98/104/106,0.050130208333333336
countdown_test2048,calibrated,2,109/114/82,0.049641927083333336
countdown_test2048,calibrated,4,93/129/43,0.043131510416666664
countdown_test2048,calibrated,8,14/45/41,0.016276041666666668
countdown_test2048,calibrated,16,1/15/4,0.0032552083333333335
countdown_test2048,frozen,1,101/108/109,0.0517578125
countdown_test2048,frozen,2,105/116/83,0.049479166666666664
countdown_test2048,frozen,4,101/134/38,0.04443359375
countdown_test2048,frozen,8,21/87/41,0.024251302083333332
countdown_test2048,frozen,16,3/9/6,0.0029296875
countdown_test2048,oracle,1,109/96/109,0.051106770833333336
countdown_test2048,oracle,2,97/90/101,0.046875
countdown_test2048,oracle,4,52/94/48,0.031575520833333336
countdown_test2048,oracle,8,81/104/104,0.047037760416666664
countdown_test2048,oracle,16,136/99/116,0.05712890625
