split,label,step,train_seed,update_seed,n,correct,accuracy,limit_hits
dev,baseline,0,,,256,8,0.03125,108
test,baseline,0,,,2048,92,0.044921875,956
dev,none,1,123,101,256,14,0.0546875,110
dev,none,1,124,102,256,15,0.05859375,115
dev,none,1,125,103,256,14,0.0546875,107
dev,mask,1,123,101,256,13,0.05078125,109
dev,mask,1,124,102,256,15,0.05859375,108
dev,mask,1,125,103,256,14,0.0546875,107
dev,pos,1,123,101,256,20,0.078125,111
dev,pos,1,124,102,256,10,0.0390625,123
dev,pos,1,125,103,256,10,0.0390625,101
dev,mask_pos,1,123,101,256,15,0.05859375,104
dev,mask_pos,1,124,102,256,13,0.05078125,118
dev,mask_pos,1,125,103,256,17,0.06640625,98
dev,true,1,123,101,256,17,0.06640625,98
dev,true,1,124,102,256,15,0.05859375,110
dev,true,1,125,103,256,15,0.05859375,99
dev,dense_mean,1,123,101,256,11,0.04296875,111
dev,dense_mean,1,124,102,256,11,0.04296875,111
dev,dense_mean,1,125,103,256,11,0.04296875,111
test,none,1,123,101,2048,94,0.0458984375,862
test,none,1,124,102,2048,97,0.04736328125,907
test,none,1,125,103,2048,106,0.0517578125,784
test,mask,1,123,101,2048,89,0.04345703125,884
test,mask,1,124,102,2048,104,0.05078125,866
test,mask,1,125,103,2048,120,0.05859375,792
test,pos,1,123,101,2048,99,0.04833984375,892
test,pos,1,124,102,2048,97,0.04736328125,881
test,pos,1,125,103,2048,98,0.0478515625,806
test,mask_pos,1,123,101,2048,105,0.05126953125,835
test,mask_pos,1,124,102,2048,107,0.05224609375,904
test,mask_pos,1,125,103,2048,106,0.0517578125,828
test,true,1,123,101,2048,111,0.05419921875,846
test,true,1,124,102,2048,100,0.048828125,892
test,true,1,125,103,2048,104,0.05078125,781
test,dense_mean,1,123,101,2048,89,0.04345703125,872
test,dense_mean,1,124,102,2048,89,0.04345703125,872
test,dense_mean,1,125,103,2048,89,0.04345703125,872
