kind,epoch,accuracy_pct,probe,ce,effective_delta_W_frobenius
raw,1.0,41.2,,,
raw,2.0,36.8,,,
raw,4.0,36.2,,,
raw,8.0,35.2,,,
raw,0.0,,raw_probe64,0.6728691998808451,
raw,0.3404255319148936,,raw_probe64,0.6649583316315703,
raw,1.0,,raw_probe64,0.6386721755995215,
raw,2.0,,raw_probe64,0.6284267192781943,
raw,4.0,,raw_probe64,0.6191014428526288,
raw,8.0,,raw_probe64,0.6150402360174564,
raw,0.0,,self_probe64,0.06036762316430743,
raw,0.3404255319148936,,self_probe64,0.06150319605241833,
raw,1.0,,self_probe64,0.07503986002689718,
raw,2.0,,self_probe64,0.08627162851733985,
raw,4.0,,self_probe64,0.09175979542369411,
raw,8.0,,self_probe64,0.09485827149122625,
raw,0.3404255319148936,,,,0.09306502078147036
raw,1.0,,,,0.25055031270885886
raw,2.0,,,,0.35713047649500856
raw,4.0,,,,0.4764705239171334
raw,8.0,,,,0.5334126708485166
self,1.0,59.0,,,
self,2.0,60.0,,,
self,4.0,59.0,,,
self,8.0,59.4,,,
self,0.0,,raw_probe64,0.6728691998808451,
self,0.3404255319148936,,raw_probe64,0.6753175483257425,
self,1.0,,raw_probe64,0.6899404441916115,
self,2.0,,raw_probe64,0.7155317805565176,
self,4.0,,raw_probe64,0.7340439791894814,
self,8.0,,raw_probe64,0.739958285430336,
self,0.0,,self_probe64,0.06036762316430743,
self,0.3404255319148936,,self_probe64,0.05689947815536279,
self,1.0,,self_probe64,0.04783220339472175,
self,2.0,,self_probe64,0.039321929616047205,
self,4.0,,self_probe64,0.034840117282097516,
self,8.0,,self_probe64,0.033419017889433314,
self,0.3404255319148936,,,,0.1055584241905375
self,1.0,,,,0.2665056883167187
self,2.0,,,,0.4258886062001794
self,4.0,,,,0.5662210944621705
self,8.0,,,,0.6186396741878198
