dataset,name,n,correct,accuracy_pct,delta_pp,wrong_to_right,right_to_wrong,mcnemar_p,mean_tokens,truncated,identical_text_to_base,strict_box_correct,strict_box_accuracy_pct,correct_without_matching_final_box,empty_parse,ci_lower,ci_upper,repeat_all_text_identical,dev_ce64,trainable,method,rank,lr,step,seen_examples,supervised_tokens,mcnemar_holm_p
dev,base,500,304,60.8,0.0,0,0,1.0,636.986,35,500,304,60.8,0,0,0.0,0.0,,,,,,,,,,
dev,base_repeat,500,304,60.8,0.0,0,0,1.0,636.986,35,500,304,60.8,0,0,0.0,0.0,True,,,,,,,,,
dev,dense_all_lr1e-6_s43_step125,500,147,29.4,-31.4,11,168,3.0887846315815043e-37,524.104,94,0,144,28.799999999999997,3,2,-36.0,-27.0,,0.7605581869226037,1310195712,dense,16,1e-06,125,2000,462407,7.10420465263746e-36
dev,dense_all_lr1e-6_s43_step25,500,159,31.8,-28.999999999999996,12,157,2.1964532601679834e-33,359.18,59,0,154,30.8,5,2,-33.4,-24.6,,0.7813851566228329,1310195712,dense,16,1e-06,25,400,85205,3.9536158683023703e-32
dev,full_lr1e-5_s43_step125,500,154,30.8,-30.0,10,160,6.04149528285632e-36,432.944,71,0,148,29.599999999999998,6,4,-34.4,-25.6,,0.7427765076900367,1543714304,full,16,1e-05,125,2000,462407,1.2687140093998271e-34
dev,full_lr1e-5_s43_step25,500,129,25.8,-35.0,14,189,2.4567591179535156e-40,608.026,119,0,129,25.8,0,10,-39.605,-30.2,,0.8160178079346462,1543714304,full,16,1e-05,25,400,85205,5.896221883088437e-39
dev,full_lr1e-6_fp32_s43_step25,500,165,33.0,-27.800000000000004,12,151,9.002303160266326e-32,429.158,71,0,155,31.0,10,5,-32.2,-23.400000000000002,,0.748984282158844,1543714304,full,16,1e-06,25,400,85205,1.4403685056426121e-30
dev,full_lr1e-6_fp32_s44_step25,500,190,38.0,-22.8,19,133,2.954047338544925e-22,409.506,63,0,181,36.199999999999996,9,5,-27.200000000000003,-18.4,,0.746654100706682,1543714304,full,16,1e-06,25,400,88722,2.2719805162771255e-21
dev,full_lr1e-6_fp32_s45_step25,500,176,35.199999999999996,-25.6,13,141,2.5180562644965816e-28,401.418,63,0,169,33.800000000000004,7,3,-30.0,-21.4,,0.7472656205411152,1543714304,full,16,1e-06,25,400,89025,3.021667517395898e-27
dev,full_lr1e-6_s43_step125,500,147,29.4,-31.4,12,169,1.2478252186982291e-36,461.048,77,0,145,28.999999999999996,2,5,-35.8,-27.0,,0.7619578171953485,1543714304,full,16,1e-06,125,2000,462407,2.745215481136104e-35
dev,full_lr1e-6_s43_step25,500,155,31.0,-29.799999999999997,10,159,1.1376864949316992e-35,301.104,42,0,149,29.799999999999997,6,0,-34.2,-25.6,,0.7832168159645991,1543714304,full,16,1e-06,25,400,85205,2.2753729898633984e-34
dev,full_lr1e-7_s43_step125,500,154,30.8,-30.0,12,162,9.829902716615718e-35,288.89,43,0,138,27.6,16,2,-34.599999999999994,-25.6,,0.8294123287372271,1543714304,full,16,1e-07,125,2000,462407,1.8676815161569865e-33
dev,full_lr1e-7_s43_step25,500,159,31.8,-28.999999999999996,12,157,2.1964532601679834e-33,258.246,34,0,143,28.599999999999998,16,3,-33.4,-24.6,,0.8431789689756366,1543714304,full,16,1e-07,25,400,85205,3.9536158683023703e-32
