scoring,metric,kind,seed,delta_pp,ci_low_pp,ci_high_pp
primary_numeric_repaired,math_reused5000,training_seed,43,0.5599999999999999,,
primary_numeric_repaired,math_reused5000,training_seed,44,0.76,,
primary_numeric_repaired,math_reused5000,training_seed,45,0.98,,
primary_numeric_repaired,math_reused5000,training_seed,46,0.86,,
primary_numeric_repaired,math_reused5000,training_seed,47,0.86,,
primary_numeric_repaired,math_reused5000,question_bootstrap,,0.804,-0.16800000000000004,1.7360999999999989
primary_numeric_repaired,math_reused5000,seed_question_bootstrap,,0.804,-0.20400000000000001,1.8160999999999985
primary_numeric_repaired,ood_macro,training_seed,43,-1.466939407341884,,
primary_numeric_repaired,ood_macro,training_seed,44,-1.3842326404245908,,
primary_numeric_repaired,ood_macro,training_seed,45,-3.2669541500810846,,
primary_numeric_repaired,ood_macro,training_seed,46,-1.9678116860779398,,
primary_numeric_repaired,ood_macro,training_seed,47,-1.4839058430389698,,
primary_numeric_repaired,ood_macro,question_bootstrap,,-1.913968745392894,-3.9399774558946383,0.06448996265172724
primary_numeric_repaired,ood_macro,seed_question_bootstrap,,-1.913968745392894,-4.083972983930415,0.18997764017887817
