scoring,metric,kind,seed,delta_pp,ci_low_pp,ci_high_pp
strict_numeric_repaired,math_reused5000,training_seed,43,0.8999999999999999,,
strict_numeric_repaired,math_reused5000,training_seed,44,1.06,,
strict_numeric_repaired,math_reused5000,training_seed,45,1.26,,
strict_numeric_repaired,math_reused5000,training_seed,46,1.16,,
strict_numeric_repaired,math_reused5000,training_seed,47,1.26,,
strict_numeric_repaired,math_reused5000,question_bootstrap,,1.1280000000000001,0.15200000000000002,2.08
strict_numeric_repaired,math_reused5000,seed_question_bootstrap,,1.1280000000000001,0.108,2.156
strict_numeric_repaired,ood_macro,training_seed,43,4.755282814880338,,
strict_numeric_repaired,ood_macro,training_seed,44,4.712676298589611,,
strict_numeric_repaired,ood_macro,training_seed,45,2.829954788933118,,
strict_numeric_repaired,ood_macro,training_seed,46,4.254410536144283,,
strict_numeric_repaired,ood_macro,training_seed,47,4.613003095975232,,
strict_numeric_repaired,ood_macro,question_bootstrap,,4.233065506904516,1.867412403557915,6.595446704997788
strict_numeric_repaired,ood_macro,seed_question_bootstrap,,4.233065506904516,1.7287467443117601,6.7200900535652845
