model,endpoint_epoch,steps,nonfinite_count,zero_count,min,median,p95,max,above_one_count,epsilon_clipping_proxy_count,min_lr,max_lr,zero_lr_steps,supervised_tokens
sample_matchedraw_lr1e5_s43,2,196,0,0,0.08163601905107498,0.13093863427639008,0.1987168937921524,0.29770365357398987,0,0,0.0,1e-05,1,565874
sample_all_lr1e5_s43,2,196,0,0,0.032913509756326675,0.04756256565451622,0.060572235845029354,0.07175622880458832,0,0,0.0,1e-05,1,1491872
teacher_matchedraw_lr5e5_s43,4,388,0,0,0.09465260803699493,0.16254647076129913,0.2386925660073757,0.2678034007549286,0,0,0.0,5e-05,1,1090852
teacher_all_lr5e5_s43,4,388,0,0,0.039793968200683594,0.06857701018452644,0.09594732597470283,0.127418652176857,0,0,0.0,5e-05,1,2954524
teacher_all_lr5e5_s44,4,388,0,0,0.03819676488637924,0.0687471367418766,0.0948998924344778,0.11827489733695984,0,0,0.0,5e-05,1,2954524
teacher_all_lr5e5_s45,4,388,0,0,0.03976358473300934,0.06998633220791817,0.09722183533012865,0.1395999789237976,0,0,0.0,5e-05,1,2954524
teacher_all_lr5e5_s46,4,388,0,0,0.036071840673685074,0.06768350675702095,0.09513401947915553,0.12015558779239655,0,0,0.0,5e-05,1,2954524
teacher_all_lr5e5_s47,4,388,0,0,0.03918479382991791,0.0688258484005928,0.09345429800450801,0.14371080696582794,0,0,0.0,5e-05,1,2954524
teacher7_expansion_combined_lr5e5_s43,4,1040,0,0,0.04019387066364288,0.07108728215098381,0.09995677024126051,0.7037035226821899,0,0,0.0,5e-05,1,7959292
teacher7_expansion_combined_lr5e5_s44,4,1040,0,0,0.036558445543050766,0.07213025912642479,0.09963181912899016,0.40561699867248535,0,0,0.0,5e-05,1,7959292
teacher7_expansion_combined_lr5e5_s45,4,1040,0,0,0.03521617129445076,0.07267092168331146,0.10152004361152647,0.7767744064331055,0,0,0.0,5e-05,1,7959292
teacher7_expansion_combined_lr5e5_s46,4,1040,0,0,0.03660100698471069,0.07121576368808746,0.09742618277668952,0.5469388961791992,0,0,0.0,5e-05,1,7959292
teacher7_expansion_combined_lr5e5_s47,4,1040,0,0,0.0385921411216259,0.07194022461771965,0.09894059561192987,0.6017245054244995,0,0,0.0,5e-05,1,7959292
